"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length"
16,2023,"CA","CDF","RRU","RABBIT","00102458","2023/07/14 00:00:00+00","2023/07/23 00:00:00+00",10,1,1,8354.776," ","","{04F24B12-E13F-4C7E-80AF-C8AA1A4C8FAB}","","",2020,49193097.9453125,47639.7437077098
25,2023,"CA","CDF","RRU","HIGHLAND","00160976","2023/10/30 00:00:00+00","2023/11/08 00:00:00+00",9,7,1,2487,"Auto-generated by EGP-IRWIN","","{A81913DF-822A-4ADB-A61F-A3B07B21FFB4}","","",2020,14121208.0507812,47327.1125758144
53,2023,"CA","CCO","KRN","DISTRICT","23-31430","2023/07/07 00:00:00+00","2023/07/12 00:00:00+00",14,2,1,1043.665,"","","{EA00B1B4-5871-4C87-AB80-9B68D5098CD0}","","",2020,6292144.94140625,12913.9059085782
59,2023,"CA","CCO","KRN","EAST","23-35760","2023/08/01 00:00:00+00","2023/08/01 00:00:00+00",14,1,1,1291.166,"","","{E3496E18-73E9-4C83-BA88-2A0805CC469E}","","",2020,7899533.1953125,15390.5216597692
61,2023,"CA","CCO","KRN","ALMOND","23-36511","2023/08/06 00:00:00+00","2023/08/07 00:00:00+00",14,1,1,5228.871,"","","{8BF47465-2934-439A-B5D2-36047256714F}","","",2020,32043957.1210938,45656.0660909036
93,2023,"CA","CCO","SBC","PLANT","00011307","2023/08/19 00:00:00+00","2023/08/31 00:00:00+00",11,3,1,5761.521,"FIRIS INTEL 12","","{B31604C4-AC56-47F4-85A8-222B39107AC5}","","",2020,34771286.984375,52880.1507570325
106,2023,"CA","CCO","VNC","SOUTH","00105733","2023/12/09 00:00:00+00","2023/12/12 00:00:00+00",14,3,1,2715.4,"FIRIS flight 1100hrs
","","{4836B1E0-E9E7-4B89-8DFC-1D1029F53B72}","","",2020,16143487.7421875,46856.1700438683
108,2023,"CA","CDF","RRU","BONNY","00109851","2023/07/26 00:00:00+00","2023/08/07 00:00:00+00",14,1,1,2323.106,"Auto-generated by EGP-IRWIN","","{BD1CCE01-5E88-4ED7-A146-5FBBC6524C8F}","","",2020,13545480.4726562,30310.0484777186
193,2023,"CA","USF","STF","BONE","00000896","2023/06/16 00:00:00+00","2023/07/18 00:00:00+00",14,5,1,1180.618,"","","{475B8E60-76A9-485C-BAAC-702AB4028730}","","",2020,7716500.45703125,20201.0479820502
197,2023,"CA","USF","SQF","RABBIT","00002146","2023/09/30 00:00:00+00","2023/10/30 00:00:00+00",14,2,1,2857.988,"","","{688F9DFA-1A20-4810-87DC-7C5B635522C0}","","",2020,18038140.1992188,34420.2469633329
201,2023,"CA","USF","STF","QUARRY","00001921","2023/09/09 00:00:00+00","2023/11/08 00:00:00+00",14,7,1,8645.426,"","","{BCB807DC-5A09-47F2-8C05-F386A6AC803A}","","",2020,56558852.2226562,73681.7582569979
204,2023,"CA","USF","SHF","DEEP","00000973","2023/08/15 00:00:00+00","2023/10/03 00:00:00+00",14,7,1,4198.194,"","","{A6ABF2C6-4C3E-4949-AD08-4080ACCC1DAE}","","",2020,29782851.640625,55373.5992942208
205,2023,"CA","NPS","MNP","YORK","00010701","2023/07/28 00:00:00+00","2023/08/20 00:00:00+00",14,7,1,93077.87,"","","{B9E0F397-DE63-4B90-B5DA-9D04A7D2381B}","","",2020,566824238.953125,264117.491457845
210,2023,"CA","NPS","KNP","REDWOOD","00000061","2023/08/15 00:00:00+00","2023/12/14 00:00:00+00",1,7,2,2248.449,"","","{405281C7-2B67-43C1-8F7A-F907AE53D92E}","","",2020,14117352.7851562,18191.6801292845
216,2023,"CA","NPS","JTP","GEOLOGY","00008414","2023/06/10 00:00:00+00","2023/06/18 00:00:00+00",10,3,NA,1033.308,"","","{D7FDF4ED-E454-4CC5-BAC9-DB6B2046AF8E}","","",2020,6086124.55078125,15544.8390359539
248,2023,"CA","BLM","CDD","NONAME","00011021","2023/08/05 00:00:00+00","2023/08/08 00:00:00+00",14,2,1,1113.898,"","","{DACBB7FE-2E2D-42FF-8D7B-A952F0CCACAF}","","",2020,6862632.82421875,17746.0270813276
261,2023,"CA","CDF","HUU","PILOT","00008047","2023/08/15 00:00:00+00","2023/09/02 00:00:00+00",1,2,1,1055.172,"","HUU MID-AUGUST LIGHTNING COMPLEX","{E93486B0-39D5-4B9E-B3D6-5E951D66A141}","","{1F9CAA64-C2DC-4A5E-8552-07374D55980A}",2020,7430767.44921875,19672.8457196276
263,2023,"CA","USF","SRF","KELLY","00000939","2023/08/15 00:00:00+00","2023/11/14 00:00:00+00",14,7,1,89326.05,"","SMITH RIVER COMPLEX","{531B9F1B-1B36-4B91-8E63-2AADA4881DEB}","","{3BB45524-295D-4F64-8BCB-C0B6DCBC0376}",2020,653153709.929688,310391.944868089
264,2023,"CA","USF","SRF","3-9","00000972","2023/08/16 00:00:00+00","2023/11/02 00:00:00+00",14,7,1,2836.39,"","SOUTH FORK COMPLEX","{139F46D2-FD28-441A-A53F-E30A5F11454A}","","{A2EEFB08-1AA8-413D-9D8D-DF4650284399}",2020,19947931.8515625,68191.929473039
266,2023,"CA","USF","KNF","SCOTT","00006941","2023/08/15 00:00:00+00","2023/09/04 00:00:00+00",1,7,1,1935.952,"","HAPPY CAMP COMPLEX","{E9353CA9-2BDC-4B36-8A3B-CD488DF69E12}","","{5CA009DC-D74B-419E-A2E9-0F6231B6191C}",2020,14050384.4179688,23549.836633093
269,2023,"CA","USF","SRF","HANCOCK","00001016","2023/08/21 00:00:00+00","2023/09/25 00:00:00+00",1,7,1,1728.136,"","2023 SRF LIGHTNING COMPLEX","{71F3BE9B-494A-444D-A8AE-C092A852ED04}","","{16890FB5-5004-4114-B056-1760AD7EB6C1}",2020,12457944.0898438,18526.7159659813
270,2023,"CA","USF","SRF","PEARCH","00000983","2023/08/17 00:00:00+00","2023/10/25 00:00:00+00",1,7,1,12152.45,"","2023 SRF LIGHTNING COMPLEX","{F40CFFB2-4238-4FED-A04A-5224984C82E5}","","{16890FB5-5004-4114-B056-1760AD7EB6C1}",2020,87295981.7109375,191343.961962366
274,2023,"CA","USF","KNF","ELLIOT","00006944","2023/08/15 00:00:00+00","2023/10/23 00:00:00+00",1,3,1,13875.25,"","HAPPY CAMP COMPLEX","{A96DE9BC-0095-43DC-B3E4-81489E63841F}","","{5CA009DC-D74B-419E-A2E9-0F6231B6191C}",2020,100555093.625,92115.6786302958
276,2023,"CA","USF","KNF","UFISH","00007029","2023/08/16 00:00:00+00","2023/09/28 00:00:00+00",1,3,1,7850.58,"","HAPPY CAMP COMPLEX","{7B4B2AE1-444D-4E86-B4F8-170D81D16D10}","","{5CA009DC-D74B-419E-A2E9-0F6231B6191C}",2020,57036758.5390625,56259.2960477678
277,2023,"CA","USF","SRF","MARLOW","00000962","2023/08/15 00:00:00+00","2023/10/03 00:00:00+00",1,3,1,1997.206,"","2023 SRF LIGHTNING COMPLEX","{C6D9B9CB-9C77-4C8E-BA70-1E19114A7108}","","{16890FB5-5004-4114-B056-1760AD7EB6C1}",2020,14446716.515625,40356.3638376565
278,2023,"CA","USF","SRF","HURDY GURDY","00000998","2023/08/15 00:00:00+00","2023/11/14 00:00:00+00",14,7,1,2677.779,"","SMITH RIVER COMPLEX","{224804E2-996A-4EBC-A200-ABD6A13BFF81}","","{3BB45524-295D-4F64-8BCB-C0B6DCBC0376}",2020,19514022.40625,36615.3211235813
279,2023,"CA","USF","SRF","CORRAL","00000946","2023/08/15 00:00:00+00","2023/11/14 00:00:00+00",14,7,1,1090.281,"","SMITH RIVER COMPLEX","{0F0D0088-B58E-4ABE-BB1D-24FA874DD8FB}","","{3BB45524-295D-4F64-8BCB-C0B6DCBC0376}",2020,7980142.2265625,16299.1948251358
282,2023,"CA","USF","SRF","LONE PINE","00000931","2023/08/15 00:00:00+00","2023/09/15 00:00:00+00",1,3,1,1684.73,"","2023 SRF LIGHTNING COMPLEX","{D91D2FCB-C4C4-4015-A7AC-15B5B7071716}","","{16890FB5-5004-4114-B056-1760AD7EB6C1}",2020,11987004.5546875,19642.4491016105
283,2023,"CA","USF","SRF","MOSQUITO","00000954","2023/08/15 00:00:00+00","2023/10/25 00:00:00+00",1,7,1,34188.45,"","2023 SRF LIGHTNING COMPLEX","{C6CFF715-78DB-4D64-A750-9DB12A048A36}","","{16890FB5-5004-4114-B056-1760AD7EB6C1}",2020,246667727.851562,615710.558280471
284,2023,"CA","USF","KNF","HEAD","00006988","2023/08/15 00:00:00+00","2023/09/07 00:00:00+00",1,2,1,6953.805,"","HAPPY CAMP COMPLEX","{22C55899-C613-43FD-9ED3-5830DECD9073}","","{5CA009DC-D74B-419E-A2E9-0F6231B6191C}",2020,50631460.9257812,90233.5098522921
285,2022,"CA","CDF","BDU","AIRPORT","00002479","2022/02/16 00:00:00+00","2022/02/26 00:00:00+00",14,3,1,4140.06,"","","{7AFEDAC3-F210-4FFC-8F27-99560E4BADF6}","","",2020,26508134.5898438,85420.8352154112
323,2022,"CA","CDF","MMU","OAK","00016149","2022/07/22 00:00:00+00","2022/08/10 00:00:00+00",14,3,1,18957.5,"","","{09A76C17-511F-40B6-A006-8531DF0C33AC}","","",2020,122238621.21875,119368.183111979
341,2022,"CA","CDF","AEU","ELECTRA","00017769","2022/07/04 00:00:00+00","2022/07/28 00:00:00+00",14,1,1,4466.222,"","","{984CC819-3E50-4361-9028-C04AC66C5230}","","",2020,29423771.015625,46575.6940056728
364,2022,"CA","CDF","SKU","MOUNTAIN","00007586","2022/09/02 00:00:00+00","2022/10/02 00:00:00+00",14,7,1,13440.71," "," ","{EE462846-A630-4A0A-B273-B2D4D9F3D208}","","",2020,96936212.1992188,172408.593727104
